candidate,vertex,w_R,w_P,w_U,acceptability
325,4,0.609605357774,0.0177249885682,0.372669653658,0.000819137565542
339,0,0.608284218104,0.148781259303,0.242934522593,0.000586802398056
339,1,0.609781560519,0.157231273098,0.232987166382,0.000586802398056
339,2,0.608066835701,0.17764299117,0.214290173129,0.000586802398056
339,3,0.597556478502,0.177569890945,0.224873630553,0.000586802398056
339,4,0.599236481941,0.15083997139,0.24992354667,0.000586802398056
340,0,0.608880650429,0.110043265574,0.281076083997,0.000864408281387
340,1,0.610555980439,0.11989279968,0.269551219881,0.000864408281387
340,2,0.608284218104,0.148781259303,0.242934522593,0.000864408281387
340,3,0.599236481941,0.15083997139,0.24992354667,0.000864408281387
340,4,0.59747231545,0.14196870339,0.260558981159,0.000864408281387
340,5,0.599189039696,0.112021256868,0.288789703436,0.000864408281387
341,0,0.609331256795,0.0666631118654,0.32400563134,0.00104352554065
341,1,0.611211094733,0.0782049759231,0.310583929344,0.00104352554065
341,2,0.608880650429,0.110043265574,0.281076083997,0.00104352554065
341,3,0.599189039696,0.112021256868,0.288789703436,0.00104352554065
341,4,0.597202440845,0.101643162903,0.301154396252,0.00104352554065
341,5,0.598915873945,0.0685141720067,0.332569954049,0.00104352554065
342,0,0.609605357774,0.0177249885682,0.372669653658,0.00127303522831
342,1,0.611722194046,0.031334525251,0.356943280703,0.00127303522831
342,2,0.609331256795,0.0666631118654,0.32400563134,0.00127303522831
342,3,0.598915873945,0.0685141720067,0.332569954049,0.00127303522831
342,4,0.596670637746,0.0563030096127,0.347026352642,0.00127303522831
342,5,0.598370142141,0.0193862682418,0.382243589617,0.00127303522831
343,0,0.596019347176,0,0.403980652824,0.000497438144164
343,1,0.610705730507,0,0.389294269493,0.000497438144164
343,2,0.609605357774,0.0177249885682,0.372669653658,0.000497438144164
343,3,0.598370142141,0.0193862682418,0.382243589617,0.000497438144164
343,4,0.59582119993,0.00492029297235,0.399258507098,0.000497438144164
358,0,0.59747231545,0.14196870339,0.260558981159,0.000747306221948
358,1,0.599236481941,0.15083997139,0.24992354667,0.000747306221948
358,2,0.597556478502,0.177569890945,0.224873630553,0.000747306221948
358,3,0.588305526166,0.177723989675,0.23397048416,0.000747306221948
358,4,0.587032427536,0.172155184851,0.240812387613,0.000747306221948
358,5,0.588192178559,0.143962419466,0.267845401976,0.000747306221948
359,0,0.597202440845,0.101643162903,0.301154396252,0.000931236737782
359,1,0.599189039696,0.112021256868,0.288789703436,0.000931236737782
359,2,0.59747231545,0.14196870339,0.260558981159,0.000931236737782
359,3,0.588192178559,0.143962419466,0.267845401976,0.000931236737782
