beta,eta,N,R,P,U
0.233,3.26,4,0.7336821659,0.1192841146,0.775434969
0.234,3.26,4,0.7336738984,0.1194249004,0.7753962539
0.235,3.26,4,0.7336686106,0.1195688861,0.7753650317
0.236,3.26,4,0.7336663393,0.1197161093,0.7753414075
0.237,3.26,4,0.7336671212,0.1198666074,0.7753254863
0.238,3.26,4,0.7336709934,0.1200204179,0.7753173731
0.239,3.26,4,0.7336779925,0.120177578,0.775317173
0.221,3.27,4,0.7341484674,0.1173944121,0.7761375951
0.222,3.27,4,0.7341077949,0.1174997329,0.7760196868
0.223,3.27,4,0.7340696638,0.1176078035,0.7759080243
0.224,3.27,4,0.7340341108,0.1177186614,0.7758027127
0.225,3.27,4,0.7340011728,0.1178323441,0.7757038569
0.226,3.27,4,0.7339708866,0.1179488889,0.775611562
0.227,3.27,4,0.7339432891,0.1180683334,0.775525933
0.228,3.27,4,0.7339184172,0.1181907148,0.7754470751
0.229,3.27,4,0.7338963075,0.1183160708,0.7753750932
0.23,3.27,4,0.7338769971,0.1184444386,0.7753100924
0.231,3.27,4,0.7338605227,0.1185758558,0.7752521777
0.232,3.27,4,0.7338469211,0.1187103598,0.7752014541
0.233,3.27,4,0.7338362292,0.1188479879,0.7751580267
0.234,3.27,4,0.7338284839,0.1189887777,0.7751220006
0.235,3.27,4,0.7338237219,0.1191327666,0.7750934807
0.236,3.27,4,0.7338219802,0.1192799919,0.7750725721
0.237,3.27,4,0.7338232955,0.1194304912,0.7750593799
0.238,3.27,4,0.7338277046,0.1195843019,0.7750540091
0.221,3.28,4,0.7342986812,0.1169623764,0.775842754
0.222,3.28,4,0.7342584813,0.1170677121,0.7757273456
0.223,3.28,4,0.7342208265,0.1171757967,0.7756181964
0.224,3.28,4,0.7341857536,0.1172866677,0.7755154114
0.225,3.28,4,0.7341532994,0.1174003625,0.7754190955
0.226,3.28,4,0.7341235008,0.1175169185,0.7753293539
0.227,3.28,4,0.7340963945,0.1176363731,0.7752462916
0.228,3.28,4,0.7340720175,0.1177587639,0.7751700137
0.229,3.28,4,0.7340504066,0.1178841281,0.7751006251
0.23,3.28,4,0.7340315986,0.1180125033,0.7750382309
0.231,3.28,4,0.7340156303,0.1181439269,0.7749829362
0.232,3.28,4,0.7340025385,0.1182784364,0.774934846
0.233,3.28,4,0.7339923603,0.118416069,0.7748940653
0.234,3.28,4,0.7339851322,0.1185568624,0.7748606991
0.235,3.28,4,0.7339808913,0.1187008539,0.7748348526
0.236,3.28,4,0.7339796743,0.1188480809,0.7748166307
0.237,3.28,4,0.733981518,0.118998581,0.7748061385
0.238,3.28,4,0.7339864594,0.1191523914,0.774803481
0.22,3.29,4,0.7344931764,0.1164318788,0.7756801268
0.221,3.29,4,0.7344509324,0.1165345185,0.775561022
0.222,3.29,4,0.7344112003,0.1166398686,0.7754480846
0.223,3.29,4,0.734374017,0.1167479668,0.7753414197
0.224,3.29,4,0.7343394193,0.1168588504,0.7752411323
0.225,3.29,4,0.7343074441,0.1169725568,0.7751473274
0.226,3.29,4,0.7342781281,0.1170891235,0.7750601102
0.227,3.29,4,0.7342515083,0.1172085879,0.7749795856
0.228,3.29,4,0.7342276214,0.1173309874,0.7749058586
0.229,3.29,4,0.7342065043,0.1174563595,0.7748390344
0.23,3.29,4,0.7341881938,0.1175847416,0.7747792179
0.231,3.29,4,0.7341727268,0.1177161712,0.7747265142
0.232,3.29,4,0.7341601401,0.1178506856,0.7746810283
0.233,3.29,4,0.7341504705,0.1179883223,0.7746428653
0.234,3.29,4,0.7341437549,0.1181291188,0.7746121302
0.235,3.29,4,0.7341400302,0.1182731125,0.774588928
0.236,3.29,4,0.734139333,0.1184203407,0.7745733638
0.237,3.29,4,0.7341417004,0.118570841,0.7745655427
0.22,3.3,4,0.7346469174,0.1160081481,0.7754088559
0.221,3.3,4,0.7346051326,0.1161108027,0.7752921797
0.222,3.3,4,0.7345658635,0.1162161669,0.7751816844
0.223,3.3,4,0.7345291468,0.1163242781,0.7750774748
0.224,3.3,4,0.7344950195,0.1164351738,0.7749796561
0.225,3.3,4,0.7344635184,0.1165488914,0.7748883332
0.226,3.3,4,0.7344346803,0.1166654683,0.7748036113
0.227,3.3,4,0.734408542,0.1167849419,0.7747255954
0.228,3.3,4,0.7343851403,0.1169073498,0.7746543905
0.229,3.3,4,0.7343645122,0.1170327293,0.7745901016
0.23,3.3,4,0.7343466945,0.1171611178,0.7745328338
0.231,3.3,4,0.7343317239,0.1172925528,0.7744826922
0.232,3.3,4,0.7343196374,0.1174270718,0.7744397817
0.233,3.3,4,0.7343104717,0.1175647121,0.7744042074
0.234,3.3,4,0.7343042637,0.1177055112,0.7743760743
0.235,3.3,4,0.7343010503,0.1178495065,0.7743554876
0.236,3.3,4,0.7343008682,0.1179967355,0.7743425522
0.237,3.3,4,0.7343037543,0.1181472356,0.7743373731
0.219,3.31,4,0.7348463368,0.1154885264,0.7752706499
0.22,3.31,4,0.7348025238,0.1155885243,0.7751502844
0.221,3.31,4,0.7347611934,0.1156911934,0.7750360079
0.222,3.31,4,0.7347223824,0.1157965711,0.7749279256
0.223,3.31,4,0.7346861276,0.1159046949,0.7748261423
0.224,3.31,4,0.7346524658,0.1160156022,0.7747307633
0.225,3.31,4,0.734621434,0.1161293305,0.7746418935
0.226,3.31,4,0.7345930688,0.1162459172,0.774559638
0.227,3.31,4,0.7345674072,0.1163653996,0.7744841018
