sample,beta,eta,N,R,P,U,R_pred,R_resid,P_pred,P_resid,U_pred,U_resid,R_cv_pred,R_cv_resid,P_cv_pred,P_cv_resid,U_cv_pred,U_cv_resid
72,0.1,4.5,2,0.765061,0.082178,0.809208,0.765060919607,8.03928554838e-08,0.0821113993831,6.66006168829e-05,0.809170523838,3.74761623354e-05,0.765060757963,2.4203695026e-07,0.0821780036267,-3.62666832676e-09,0.809203252061,4.7479391172e-06
73,0.15,3,2,0.743358,0.125274,0.827353,0.743358416796,-4.16796382852e-07,0.12519631327,7.76867300555e-05,0.827307621992,4.53780083475e-05,0.74335866674,-6.66740451516e-07,0.125274556269,-5.56269470847e-07,0.827345000183,7.99981674882e-06
74,0.15,3.5,2,0.753806,0.103442,0.801053,0.753805742978,2.57021799177e-07,0.103188992621,0.000253007379406,0.80088716807,0.000165831930426,0.753805678553,3.21446711693e-07,0.103009310398,0.000432689601637,0.800750708636,0.000302291364394
75,0.15,4,2,0.763801,0.089845,0.799077,0.763800818446,1.8155426651e-07,0.0896901905427,0.000154809457328,0.79902933629,4.7663709646e-05,0.763800751559,2.48440969353e-07,0.0896354889655,0.000209511034461,0.799002027506,7.49724939099e-05
76,0.15,4.5,2,0.762294,0.080232,0.794352,0.762294243199,-2.43198980621e-07,0.0802381570362,-6.15703617819e-06,0.794312276654,3.97233460093e-05,0.762294333516,-3.33516177897e-07,0.0802756448697,-4.36448697354e-05,0.79429628879,5.57112097038e-05
77,0.2,3,2,0.737903,0.121617,0.809415,0.737902787843,2.12157235113e-07,0.121412754754,0.000204245245826,0.809378002626,3.69973738393e-05,0.737902677516,3.22483918125e-07,0.121306786899,0.000310213100844,0.809352405444,6.25945557975e-05
78,0.2,3.5,2,0.749928,0.099798,0.7882,0.749928333921,-3.33920686546e-07,0.0995985777412,0.000199422258813,0.788119695925,8.03040751385e-05,0.749928427749,-4.27748876652e-07,0.099490788358,0.000307211642049,0.7880923081,0.000107691899522
79,0.2,4,2,0.760896,0.086239,0.787723,0.76089586357,1.36429962661e-07,0.0862337278711,5.27212894248e-06,0.787802448509,-7.94485092774e-05,0.760895815803,1.84197291531e-07,0.0862385105623,4.89437692638e-07,0.787834732603,-0.000111732602742
80,0.2,4.5,2,0.759756,0.076688,0.78091,0.759755976791,2.32091829089e-08,0.0768564551438,-0.000168455143785,0.781004410379,-9.44103794075e-05,0.759755900132,9.98683560294e-08,0.0770288639328,-0.000340863932847,0.781102943577,-0.0001929435774
81,0.3,3,2,0.741908,0.1292,0.815689,0.741908036299,-3.62991655622e-08,0.129103866359,9.61336410018e-05,0.81568383935,5.16065027745e-06,0.741908286969,-2.86968772967e-07,0.128916449027,0.0002835509729,0.815738175214,-4.91752141484e-05
82,0.3,3.5,2,0.758486,0.107291,0.809771,0.758485796715,2.03285250411e-07,0.107320307528,-2.93075278293e-05,0.809751716181,1.92838191093e-05,0.758485774776,2.25224176864e-07,0.107359457938,-6.84579378219e-05,0.809795473741,-2.44737409105e-05
83,0.3,4,2,0.772794,0.093693,0.817419,0.772794009273,-9.27319110389e-09,0.0938676929824,-0.000174692982375,0.817517526583,-9.85265834884e-05,0.772793982582,1.74183135693e-08,0.0939603373008,-0.000267337300758,0.817556923691,-0.000137923690733
84,0.3,4.5,2,0.773783,0.084152,0.811558,0.773783273974,-2.73974490428e-07,0.0842842727226,-0.000132272722635,0.811559420558,-1.42055751473e-06,0.773783540522,-5.40521891024e-07,0.0844367805355,-0.000284780535456,0.811521109612,3.68903877176e-05
